Team,Location,Stadium
Angers,Angers,Stade Raymond Kopa
Auxerre,Auxerre,Stade Abbé Deschamps
Brest,Brest,Stade Francis-Le Blé
Le Havre,Le Havre,Stade Océane
Lens,Lens,Stade Bollaert-Delelis
Lille,Lille,Decathlon Arena Pierre Mauroy Stadium
Lyon,Lyon,Groupama Stadium
Marseille,Marseille,Orange Vélodrome
Monaco,Monaco,Stade Louis II
Montpellier,Montpellier,Stade de la Mosson
Nantes,Nantes,Stade de la Beaujoire
Nice,Nice,Allianz Riviera
Paris Saint-Germain,Paris,Parc des Princes
Reims,Reims,Stade Auguste Delaune
Rennes,Rennes,Roazhon Park
Strasbourg,Strasbourg,Stade de la Meinau
Saint-Étienne,Saint-Étienne,Stade Geoffroy Guichard
Toulouse,Toulouse,Stadium de Toulouse
